reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R10436,"UDP-alpha-D-galactose:alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol beta-1,3-galactosyltransferase; UDP-alpha-D-galactose + alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol <=> UDP + beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol",C00052 + C20621 <=> C00015 + C20622,"UDP-alpha-D-galactose + alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol <=> UDP + beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol",['2.4.1.122'],C00052;C20621,C00015;C20622,1.0;1.0,1.0;1.0
R10437,7-(hydroxymethyl)bacteriochlorophyllide c:S-adenosyl-L-methionine oxidoreductase (C-7(1)-hydroxylating); S-Adenosyl-L-methionine + 7-(Hydroxymethyl)bacteriochlorophyllide c + H2O <=> 7-(Dihydroxymethyl)bacteriochlorophyllide c + 5'-Deoxyadenosine + L-Methionine,C00019 + C21407 + C00001 <=> C20650 + C05198 + C00073,S-Adenosyl-L-methionine + 7-(Hydroxymethyl)bacteriochlorophyllide c + H2O <=> 7-(Dihydroxymethyl)bacteriochlorophyllide c + 5'-Deoxyadenosine + L-Methionine,['1.17.98.2'],C00019;C21407;C00001,C20650;C05198;C00073,1.0;1.0;1.0,1.0;1.0;1.0
R10438,hydrogen sulfide:NADP+ oxidoreductase (CoA-dependent); Hydrogen sulfide + NADP+ <=> Sulfur + NADPH + H+,C00283 + C00006 <=> C00087 + C00005 + C00080,Hydrogen sulfide + NADP+ <=> Sulfur + NADPH + H+,['1.8.1.18'],C00283;C00006,C00087;C00005;C00080,1.0;1.0,1.0;1.0;1.0
R10439,"GDP-beta-L-fucose:beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol alpha-1,2-fucosyltransferase; GDP-L-fucose + beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol <=> GDP + alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol",C00325 + C20622 <=> C00035 + C20625,"GDP-L-fucose + beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol <=> GDP + alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol",['2.4.1.308'],C00325;C20622,C00035;C20625,1.0;1.0,1.0;1.0
R10440,"UDP-alpha-D-galactose:alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol alpha-1,3-galactosyltransferase; UDP-alpha-D-galactose + alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol <=> UDP + alpha-D-Gal-(1->3)-(alpha-L-Fuc-(1->2))-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol",C00052 + C20625 <=> C00015 + C20626,"UDP-alpha-D-galactose + alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol <=> UDP + alpha-D-Gal-(1->3)-(alpha-L-Fuc-(1->2))-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol",['2.4.1.309'],C00052;C20625,C00015;C20626,1.0;1.0,1.0;1.0
R10441,"CDP-2,3-bis-(O-phytanyl)-sn-glycerol:L-serine 2,3-bis-(O-phytanyl)-sn-glycerol phosphotransferase; CDP-2,3-bis-(O-phytanyl)-sn-glycerol + L-Serine <=> CMP + 2,3-Bis-(O-phytanyl)-sn-glycero-1-phospho-L-serine",C20627 + C00065 <=> C00055 + C20628,"CDP-2,3-bis-(O-phytanyl)-sn-glycerol + L-Serine <=> CMP + 2,3-Bis-(O-phytanyl)-sn-glycero-1-phospho-L-serine",['2.7.8.38'],C20627;C00065,C00055;C20628,1.0;1.0,1.0;1.0
R10442,NDP + H2O <=> Nucleoside 5'-phosphate + Orthophosphate,C00454 + C00001 <=> C01117 + C00009,NDP + H2O <=> Nucleoside 5'-phosphate + Orthophosphate,['3.6.1.5'],C00454;C00001,C01117;C00009,1.0;1.0,1.0;1.0
R10443,nucleoside triphosphate phosphohydrolase (nucleoside monophosphoate-forming); Nucleoside triphosphate + 2 H2O <=> Nucleoside 5'-phosphate + 2 Orthophosphate,C00201 + 2 C00001 <=> C01117 + 2 C00009,Nucleoside triphosphate + 2 H2O <=> Nucleoside 5'-phosphate + 2 Orthophosphate,['3.6.1.5'],C00201;C00001,C01117;C00009,1.0;2.0,1.0;2.0
R10444,caldariellaquinol:O2 oxidoreductase (H+-transporting); 2 Caldariellaquinol + Oxygen + n H+ <=> 2 Caldariellaquinone + 2 H2O + n H+,2 C20623 + C00007 + n C00080 <=> 2 C20624 + 2 C00001 + n C00080,2 Caldariellaquinol + Oxygen + n H+ <=> 2 Caldariellaquinone + 2 H2O + n H+,['7.1.1.4'],C20623;C00007;C00080,C20624;C00001;C00080,2.0;1.0;None,2.0;2.0;None
R10445,"fumitremorgin B,2-oxoglutarate:oxygen oxidoreductase (verruculogen-forming); Fumitremorgin B + 2-Oxoglutarate + 2 Oxygen + Reduced acceptor <=> Verruculogen + Succinate + CO2 + H2O + Acceptor",C20630 + C00026 + 2 C00007 + C00030 <=> C20045 + C00042 + C00011 + C00001 + C00028,Fumitremorgin B + 2-Oxoglutarate + 2 Oxygen + Reduced acceptor <=> Verruculogen + Succinate + CO2 + H2O + Acceptor,['1.14.11.38'],C20630;C00026;C00007;C00030,C20045;C00042;C00011;C00001;C00028,1.0;1.0;2.0;1.0,1.0;1.0;1.0;1.0;1.0
R10446,"L-asparagine,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating); L-Asparagine + 2-Oxoglutarate + Oxygen <=> (2S,3S)-3-Hydroxyasparagine + Succinate + CO2",C00152 + C00026 + C00007 <=> C20631 + C00042 + C00011,"L-Asparagine + 2-Oxoglutarate + Oxygen <=> (2S,3S)-3-Hydroxyasparagine + Succinate + CO2",['1.14.11.39'],C00152;C00026;C00007,C20631;C00042;C00011,1.0;1.0;1.0,1.0;1.0;1.0
R10447,S-adenosyl-L-methionine:benzoate O-methyltransferase; S-Adenosyl-L-methionine + Benzoate <=> S-Adenosyl-L-homocysteine + Methyl benzoate,C00019 + C00180 <=> C00021 + C20645,S-Adenosyl-L-methionine + Benzoate <=> S-Adenosyl-L-homocysteine + Methyl benzoate,['2.1.1.273'],C00019;C00180,C00021;C20645,1.0;1.0,1.0;1.0
R10448,S-adenosyl-L-methionine:salicylate 1-O-methyltransferase; S-Adenosyl-L-methionine + Salicylate <=> S-Adenosyl-L-homocysteine + Methyl salicylate,C00019 + C00805 <=> C00021 + C12305,S-Adenosyl-L-methionine + Salicylate <=> S-Adenosyl-L-homocysteine + Methyl salicylate,['2.1.1.274'],C00019;C00805,C00021;C12305,1.0;1.0,1.0;1.0
R10449,S-adenosyl-L-methionine:gibberellin A9 O-methyltransferase; S-Adenosyl-L-methionine + Gibberellin A9 <=> S-Adenosyl-L-homocysteine + Methyl gibberellin A9,C00019 + C11863 <=> C00021 + C20632,S-Adenosyl-L-methionine + Gibberellin A9 <=> S-Adenosyl-L-homocysteine + Methyl gibberellin A9,['2.1.1.275'],C00019;C11863,C00021;C20632,1.0;1.0,1.0;1.0
R10450,S-adenosyl-L-methionine:gibberellin A4 O-methyltransferase; S-Adenosyl-L-methionine + Gibberellin A4 <=> S-Adenosyl-L-homocysteine + Methyl gibberellin A4,C00019 + C11864 <=> C00021 + C20633,S-Adenosyl-L-methionine + Gibberellin A4 <=> S-Adenosyl-L-homocysteine + Methyl gibberellin A4,['2.1.1.276'],C00019;C11864,C00021;C20633,1.0;1.0,1.0;1.0
R10451,S-adenosyl-L-methionine:anthranilate O-methyltransferase; S-Adenosyl-L-methionine + Anthranilate <=> S-Adenosyl-L-homocysteine + O-Methyl anthranilate,C00019 + C00108 <=> C00021 + C20634,S-Adenosyl-L-methionine + Anthranilate <=> S-Adenosyl-L-homocysteine + O-Methyl anthranilate,['2.1.1.277'],C00019;C00108,C00021;C20634,1.0;1.0,1.0;1.0
R10452,S-adenosyl-L-methionine:(indol-3-yl)acetate O-methyltransferase; S-Adenosyl-L-methionine + Indole-3-acetate <=> S-Adenosyl-L-homocysteine + Methyl (indol-3-yl)acetate,C00019 + C00954 <=> C00021 + C20635,S-Adenosyl-L-methionine + Indole-3-acetate <=> S-Adenosyl-L-homocysteine + Methyl (indol-3-yl)acetate,['2.1.1.278'],C00019;C00954,C00021;C20635,1.0;1.0,1.0;1.0
R10453,"3-dimethylallyl-4-hydroxybenzoate:3-amino-4,7-dihydroxycoumarin ligase (AMP-forming); ATP + 3-Dimethylallyl-4-hydroxybenzoate + 3-Amino-4,7-dihydroxycoumarin <=> AMP + Diphosphate + 8-Demethylnovobiocic acid",C00002 + C12458 + C12468 <=> C00020 + C00013 + C20629,"ATP + 3-Dimethylallyl-4-hydroxybenzoate + 3-Amino-4,7-dihydroxycoumarin <=> AMP + Diphosphate + 8-Demethylnovobiocic acid",['6.3.1.15'],C00002;C12458;C12468,C00020;C00013;C20629,1.0;1.0;1.0,1.0;1.0;1.0
R10454,S-adenosyl-L-methionine:8-demethylnovobiocic acid C8-methyltransferase; S-Adenosyl-L-methionine + 8-Demethylnovobiocic acid <=> S-Adenosyl-L-homocysteine + Novobiocic acid,C00019 + C20629 <=> C00021 + C12474,S-Adenosyl-L-methionine + 8-Demethylnovobiocic acid <=> S-Adenosyl-L-homocysteine + Novobiocic acid,['2.1.1.284'],C00019;C20629,C00021;C12474,1.0;1.0,1.0;1.0
R10455,S-adenosyl-L-methionine:L-histidine-[translation elongation factor 2] 2-[(3S)-3-amino-3-carboxypropyl]transferase; S-Adenosyl-L-methionine + L-Histidine-[translation elongation factor 2] <=> 5'-Methylthioadenosine + Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine,C00019 + C20663 <=> C00170 + C04441,S-Adenosyl-L-methionine + L-Histidine-[translation elongation factor 2] <=> 5'-Methylthioadenosine + Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine,['2.5.1.108'],C00019;C20663,C00170;C04441,1.0;1.0,1.0;1.0
R10456,dimethylallyl-diphosphate:brevianamide-F tert-dimethylallyl-C-2-transferase; Dimethylallyl diphosphate + Brevianamide F <=> Diphosphate + Deoxybrevianamide E,C00235 + C20563 <=> C00013 + C20636,Dimethylallyl diphosphate + Brevianamide F <=> Diphosphate + Deoxybrevianamide E,['2.5.1.109'],C00235;C20563,C00013;C20636,1.0;1.0,1.0;1.0
R10457,"dimethylallyl-diphosphate:12alpha,13alpha-dihydroxyfumitremorgin C dimethylallyl-N-1-transferase; Dimethylallyl diphosphate + 12alpha,13alpha-Dihydroxyfumitremorgin C <=> Diphosphate + Fumitremorgin B",C00235 + C20605 <=> C00013 + C20630,"Dimethylallyl diphosphate + 12alpha,13alpha-Dihydroxyfumitremorgin C <=> Diphosphate + Fumitremorgin B",['2.5.1.110'],C00235;C20605,C00013;C20630,1.0;1.0,1.0;1.0
R10459,dTDP-5-dimethyl-L-lyxose:NAD+ 4-oxidoreductase; dTDP-4-oxo-5-C-methyl-L-rhamnose + NADH + H+ <=> dTDP-5-dimethyl-L-lyxose + NAD+,C11460 + C00004 + C00080 <=> C12481 + C00003,dTDP-4-oxo-5-C-methyl-L-rhamnose + NADH + H+ <=> dTDP-5-dimethyl-L-lyxose + NAD+,['1.1.1.-'],C11460;C00004;C00080,C12481;C00003,1.0;1.0;1.0,1.0;1.0
R10460,"GDP-4-amino-4,6-dideoxy-alpha-D-mannose:2-oxoglutarate aminotransferase; GDP-4-amino-4,6-dideoxy-alpha-D-mannose + 2-Oxoglutarate <=> GDP-4-dehydro-6-deoxy-D-mannose + L-Glutamate",C20638 + C00026 <=> C01222 + C00025,"GDP-4-amino-4,6-dideoxy-alpha-D-mannose + 2-Oxoglutarate <=> GDP-4-dehydro-6-deoxy-D-mannose + L-Glutamate",['2.6.1.102'],C20638;C00026,C01222;C00025,1.0;1.0,1.0;1.0
R10461,O-acetyl-L-serine:hydroxyurea 2-amino-2-carboxyethyltransferase; O-Acetyl-L-serine + Hydroxyurea <=> O-Ureido-L-serine + Acetate,C00979 + C07044 <=> C20639 + C00033,O-Acetyl-L-serine + Hydroxyurea <=> O-Ureido-L-serine + Acetate,['2.6.99.3'],C00979;C07044,C20639;C00033,1.0;1.0,1.0;1.0
R10462,ATP:GTP adenylyltransferase (cyclizing); ATP + GTP <=> 2 Diphosphate + Cyclic GMP-AMP,C00002 + C00044 <=> 2 C00013 + C20640,ATP + GTP <=> 2 Diphosphate + Cyclic GMP-AMP,['2.7.7.86'],C00002;C00044,C00013;C20640,1.0;1.0,2.0;1.0
R10463,"ATP:L-threonyl,bicarbonate adenylyltransferase; L-Threonine + ATP + HCO3- + H+ <=> L-Threonylcarbamoyladenylate + Diphosphate + H2O",C00188 + C00002 + C00288 + C00080 <=> C20641 + C00013 + C00001,L-Threonine + ATP + HCO3- + H+ <=> L-Threonylcarbamoyladenylate + Diphosphate + H2O,['2.7.7.87'],C00188;C00002;C00288;C00080,C20641;C00013;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R10464,"CDP-2,3-bis-(O-phytanyl)-sn-glycerol:1L-myo-inositol 1-phosphate 1-sn-archaetidyltransferase; CDP-2,3-bis-(O-phytanyl)-sn-glycerol + 1D-myo-Inositol 3-phosphate <=> CMP + 1-Archaetidyl-1D-myo-inositol 3-phosphate",C20627 + C04006 <=> C00055 + C20642,"CDP-2,3-bis-(O-phytanyl)-sn-glycerol + 1D-myo-Inositol 3-phosphate <=> CMP + 1-Archaetidyl-1D-myo-inositol 3-phosphate",['2.7.8.39'],C20627;C04006,C00055;C20642,1.0;1.0,1.0;1.0
R10465,"UDP-N-acetyl-alpha-D-galactosamine:ditrans,octacis-undecaprenyl phosphate N-acetyl-D-galactosaminephosphotransferase; UDP-N-acetyl-D-galactosamine + di-trans,poly-cis-Undecaprenyl phosphate <=> UMP + N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol",C00203 + C17556 <=> C00105 + C20620,"UDP-N-acetyl-D-galactosamine + di-trans,poly-cis-Undecaprenyl phosphate <=> UMP + N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol",['2.7.8.40'],C00203;C17556,C00105;C20620,1.0;1.0,1.0;1.0
R10466,N(omega)-hydroxy-L-arginine amidinohydrolase; N(omega)-Hydroxyarginine + H2O <=> L-Ornithine + Hydroxyurea,C05933 + C00001 <=> C00077 + C07044,N(omega)-Hydroxyarginine + H2O <=> L-Ornithine + Hydroxyurea,['3.5.3.25'],C05933;C00001,C00077;C07044,1.0;1.0,1.0;1.0
R10467,"2-heptyl-4(1H)-quinolone,NADH:oxygen oxidoreductase (3-hydroxylating); 2-Heptyl-4(1H)-quinolone + NADH + H+ + Oxygen <=> 2-Heptyl-3-hydroxy-quinolone + NAD+ + H2O",C20643 + C00004 + C00080 + C00007 <=> C11848 + C00003 + C00001,2-Heptyl-4(1H)-quinolone + NADH + H+ + Oxygen <=> 2-Heptyl-3-hydroxy-quinolone + NAD+ + H2O,['1.14.13.182'],C20643;C00004;C00080;C00007,C11848;C00003;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R10468,"protoheme,hydrogen-donor:oxygen oxidoreductase (delta-methene-oxidizing, hydroxylating); Heme + 5 Reduced acceptor + 4 Oxygen <=> 5-Oxo-delta-bilirubin + Fe2+ + Formaldehyde + 5 Acceptor + 4 H2O",C00032 + 5 C00030 + 4 C00007 <=> C20666 + C14818 + C00067 + 5 C00028 + 4 C00001,Heme + 5 Reduced acceptor + 4 Oxygen <=> 5-Oxo-delta-bilirubin + Fe2+ + Formaldehyde + 5 Acceptor + 4 H2O,['1.14.99.48'],C00032;C00030;C00007,C20666;C14818;C00067;C00028;C00001,1.0;5.0;4.0,1.0;1.0;1.0;5.0;4.0
R10469,"2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate hydro-lyase (cyclizing, 3-amino-4-hydroxybenzoate-forming); 2-Amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate <=> 3-Amino-4-hydroxybenzoate + Orthophosphate + 2 H2O",C20644 <=> C12115 + C00009 + 2 C00001,"2-Amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate <=> 3-Amino-4-hydroxybenzoate + Orthophosphate + 2 H2O",['4.1.99.20'],C20644,C12115;C00009;C00001,1.0,1.0;1.0;2.0
R10470,O-ureido-D-serine cyclo-ligase (D-cycloserine-forming); O-Ureido-D-serine + ATP + H2O <=> Cycloserine + CO2 + Ammonia + ADP + Orthophosphate,C20651 + C00002 + C00001 <=> C08057 + C00011 + C00014 + C00008 + C00009,O-Ureido-D-serine + ATP + H2O <=> Cycloserine + CO2 + Ammonia + ADP + Orthophosphate,['6.3.3.5'],C20651;C00002;C00001,C08057;C00011;C00014;C00008;C00009,1.0;1.0;1.0,1.0;1.0;1.0;1.0;1.0
R10472,S-adenosyl-L-methionine:emodin 8-O-methyltransferase; S-Adenosyl-L-methionine + Emodin <=> S-Adenosyl-L-homocysteine + Questin,C00019 + C10343 <=> C00021 + C01448,S-Adenosyl-L-methionine + Emodin <=> S-Adenosyl-L-homocysteine + Questin,['2.1.1.283'],C00019;C10343,C00021;C01448,1.0;1.0,1.0;1.0
R10473,acetyl-CoA:benzylalcohol O-acetyltransferase; Acetyl-CoA + Benzyl alcohol <=> CoA + Benzyl acetate,C00024 + C00556 <=> C00010 + C15513,Acetyl-CoA + Benzyl alcohol <=> CoA + Benzyl acetate,['2.3.1.224'],C00024;C00556,C00010;C15513,1.0;1.0,1.0;1.0
R10474,acetyl-CoA:cinnamyl alcohol O-acetyltransferase; Acetyl-CoA + Cinnamyl alcohol <=> CoA + Cinnamyl acetate,C00024 + C02394 <=> C00010 + C12299,Acetyl-CoA + Cinnamyl alcohol <=> CoA + Cinnamyl acetate,['2.3.1.224'],C00024;C02394,C00010;C12299,1.0;1.0,1.0;1.0
R10475,"5'-oxoaverantin hydro-lyase [(1'S,5'S)-averufin forming]; 5'-Oxoaverantin <=> (1'S,5'S)-Averufin + H2O",C20502 <=> C20574 + C00001,"5'-Oxoaverantin <=> (1'S,5'S)-Averufin + H2O",['4.2.1.142'],C20502,C20574;C00001,1.0,1.0;1.0
R10476,"(1'S,5'S)-Averufin + NADPH + H+ + Oxygen <=> 1'-Hydroxyversicolorone + NADP+ + H2O",C20574 + C00005 + C00080 + C00007 <=> C20503 + C00006 + C00001,"(1'S,5'S)-Averufin + NADPH + H+ + Oxygen <=> 1'-Hydroxyversicolorone + NADP+ + H2O",,C20574;C00005;C00080;C00007,C20503;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R10477,1'-Hydroxyversicolorone + NADPH + H+ + Oxygen <=> Versiconal hemiacetal acetate + NADP+ + H2O,C20503 + C00005 + C00080 + C00007 <=> C20505 + C00006 + C00001,1'-Hydroxyversicolorone + NADPH + H+ + Oxygen <=> Versiconal hemiacetal acetate + NADP+ + H2O,,C20503;C00005;C00080;C00007,C20505;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R10478,Versicolorone + NADPH + H+ + Oxygen <=> Versiconol acetate + NADP+ + H2O,C20504 + C00005 + C00080 + C00007 <=> C20506 + C00006 + C00001,Versicolorone + NADPH + H+ + Oxygen <=> Versiconol acetate + NADP+ + H2O,,C20504;C00005;C00080;C00007,C20506;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R10479,Versicolorin B + Oxygen + NADPH + H+ <=> Versicolorin A + NADP+ + 2 H2O,C20575 + C00007 + C00005 + C00080 <=> C20583 + C00006 + 2 C00001,Versicolorin B + Oxygen + NADPH + H+ <=> Versicolorin A + NADP+ + 2 H2O,,C20575;C00007;C00005;C00080,C20583;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;2.0
R10480,Versicolorin B <=> Dihydrodemethylsterigmatocystin,C20575 <=> C20444,Versicolorin B <=> Dihydrodemethylsterigmatocystin,,C20575,C20444,1.0,1.0
R10481,Versicolorin A <=> 6-Demethylsterigmatocystin,C20583 <=> C03683,Versicolorin A <=> 6-Demethylsterigmatocystin,,C20583,C03683,1.0,1.0
R10482,Dihydro-O-methylsterigmatocystin <=> Aflatoxin G2,C03944 <=> C16754,Dihydro-O-methylsterigmatocystin <=> Aflatoxin G2,,C03944,C16754,1.0,1.0
R10483,O-Methylsterigmatocystin <=> Aflatoxin G1,C03686 <=> C16755,O-Methylsterigmatocystin <=> Aflatoxin G1,,C03686,C16755,1.0,1.0
R10484,palmitoyl-CoA:[protein]-L-cysteine S-palmitoyltransferase; Palmitoyl-CoA + [Protein]-L-cysteine <=> S-Palmitoylprotein + CoA,C00154 + C02743 <=> C17202 + C00010,Palmitoyl-CoA + [Protein]-L-cysteine <=> S-Palmitoylprotein + CoA,['2.3.1.225'],C00154;C02743,C17202;C00010,1.0;1.0,1.0;1.0
R10485,"malonyl-CoA:(S)-1-pyrroline-5-carboxylate malonyltransferase (cyclizing); Malonyl-CoA + (S)-1-Pyrroline-5-carboxylate + H2O <=> CoA + (2S,5S)-trans-Carboxymethylproline + CO2",C00083 + C03912 + C00001 <=> C00010 + C17366 + C00011,"Malonyl-CoA + (S)-1-Pyrroline-5-carboxylate + H2O <=> CoA + (2S,5S)-trans-Carboxymethylproline + CO2",['2.3.1.226'],C00083;C03912;C00001,C00010;C17366;C00011,1.0;1.0;1.0,1.0;1.0;1.0
R10486,maltose 6'-phosphate phosphohydrolase; Maltose 6'-phosphate + H2O <=> Maltose + Orthophosphate,C02995 + C00001 <=> C00208 + C00009,Maltose 6'-phosphate + H2O <=> Maltose + Orthophosphate,['3.1.3.90'],C02995;C00001,C00208;C00009,1.0;1.0,1.0;1.0
R10487,"(S)-2-(4-chloro-2-dichlorophenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming); (S)-(2,4-Dichlorophenoxy)propanoate + 2-Oxoglutarate + Oxygen <=> 2,4-Dichlorophenol + Pyruvate + Succinate + CO2",C20687 + C00026 + C00007 <=> C02625 + C00022 + C00042 + C00011,"(S)-(2,4-Dichlorophenoxy)propanoate + 2-Oxoglutarate + Oxygen <=> 2,4-Dichlorophenol + Pyruvate + Succinate + CO2",['1.14.11.43'],C20687;C00026;C00007,C02625;C00022;C00042;C00011,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R10488,(2S)-2-amino-3-[(carbamoylamino)oxy]propanoate 2-epimerase; O-Ureido-L-serine <=> O-Ureido-D-serine,C20639 <=> C20651,O-Ureido-L-serine <=> O-Ureido-D-serine,['5.1.1.19'],C20639,C20651,1.0,1.0
R10491,S-adenosyl-L-methionine:gamma-tocotrienol 5-O-methyltransferase; S-Adenosyl-L-methionine + gamma-Tocotrienol <=> S-Adenosyl-L-homocysteine + alpha-Tocotrienol,C00019 + C14155 <=> C00021 + C14153,S-Adenosyl-L-methionine + gamma-Tocotrienol <=> S-Adenosyl-L-homocysteine + alpha-Tocotrienol,['2.1.1.95'],C00019;C14155,C00021;C14153,1.0;1.0,1.0;1.0
R10492,S-adenosyl-L-methionine:delta-tocotrienol 5-O-methyltransferase; S-Adenosyl-L-methionine + delta-Tocotrienol <=> S-Adenosyl-L-homocysteine + beta-Tocotrienol,C00019 + C14156 <=> C00021 + C14154,S-Adenosyl-L-methionine + delta-Tocotrienol <=> S-Adenosyl-L-homocysteine + beta-Tocotrienol,['2.1.1.95'],C00019;C14156,C00021;C14154,1.0;1.0,1.0;1.0
R10493,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (kunzeaol forming); trans,trans-Farnesyl diphosphate + H2O <=> Kunzeaol + Diphosphate",C00448 + C00001 <=> C20576 + C00013,"trans,trans-Farnesyl diphosphate + H2O <=> Kunzeaol + Diphosphate",['4.2.3.143'],C00448;C00001,C20576;C00013,1.0;1.0,1.0;1.0
R10494,6-tuliposide-A D-glucose-lyase (tulipalin-A-forming); 6-Tuliposide A <=> Tulipalin A + D-Glucose,C20577 <=> C20578 + C00031,6-Tuliposide A <=> Tulipalin A + D-Glucose,['4.2.99.22'],C20577,C20578;C00031,1.0,1.0;1.0
R10495,S-adenosyl-L-methionine:anthranilate:L-phenylalanine ligase (cyclopeptine forming); 2 ATP + S-Adenosyl-L-methionine + Anthranilate + L-Phenylalanine <=> Cyclopeptine + 2 AMP + 2 Diphosphate + S-Adenosyl-L-homocysteine,2 C00002 + C00019 + C00108 + C00079 <=> C20579 + 2 C00020 + 2 C00013 + C00021,2 ATP + S-Adenosyl-L-methionine + Anthranilate + L-Phenylalanine <=> Cyclopeptine + 2 AMP + 2 Diphosphate + S-Adenosyl-L-homocysteine,['6.3.2.40'],C00002;C00019;C00108;C00079,C20579;C00020;C00013;C00021,2.0;1.0;1.0;1.0,1.0;2.0;2.0;1.0
R10496,agmatine:[tRNA(Ile2)]-cytidine34 ligase; ATP + Agmatine + [tRNA(Ile2)]-cytidine34 + H2O <=> [tRNA(Ile2)]-2-agmatinylcytidine34 + AMP + 2 Orthophosphate,C00002 + C00179 + C19722 + C00001 <=> C20580 + C00020 + 2 C00009,ATP + Agmatine + [tRNA(Ile2)]-cytidine34 + H2O <=> [tRNA(Ile2)]-2-agmatinylcytidine34 + AMP + 2 Orthophosphate,['6.3.4.22'],C00002;C00179;C19722;C00001,C20580;C00020;C00009,1.0;1.0;1.0;1.0,1.0;1.0;2.0
R10497,S-adenosyl-L-methionine:25S rRNA (adenine2142-N1)-methyltransferase; S-adenosyl-L-methionine:25S rRNA (adenine645-N1)-methyltransferase; S-Adenosyl-L-methionine + Adenine in rRNA <=> S-Adenosyl-L-homocysteine + N1-Methyladenine in rRNA,C00019 + C20648 <=> C00021 + C20647,S-Adenosyl-L-methionine + Adenine in rRNA <=> S-Adenosyl-L-homocysteine + N1-Methyladenine in rRNA,['2.1.1.286       2.1.1.287'],C00019;C20648,C00021;C20647,1.0;1.0,1.0;1.0
R10498,S-adenosyl-L-methionine:tRNAPhe [7-[(3S)-(3-amino-3-carboxypropyl)-4-demethyl]wyosine-N4]-methyltransferase; S-Adenosyl-L-methionine + 7-[(3S)-3-Amino-3-carboxypropyl]-4-demethylwyosine in tRNA(Phe) <=> S-Adenosyl-L-homocysteine + 7-[(3S)-(3-Amino-3-carboxypropyl)]wyosine in tRNA(Phe),C00019 + C20652 <=> C00021 + C20649,S-Adenosyl-L-methionine + 7-[(3S)-3-Amino-3-carboxypropyl]-4-demethylwyosine in tRNA(Phe) <=> S-Adenosyl-L-homocysteine + 7-[(3S)-(3-Amino-3-carboxypropyl)]wyosine in tRNA(Phe),['2.1.1.282'],C00019;C20652,C00021;C20649,1.0;1.0,1.0;1.0
